id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12734939,"Belmont Gardens - Peace & Quiet, Full Living Area",69250839,David,,Avondale,41.93763901748842,-87.73072725749552,Entire home/apt,149,1,67,2018-09-17,2.35,1,170
12759999,1 Bed Coach House\Full Kitchen&Bath,60405794,Kyle,,Lake View,41.94433526995855,-87.66924984144222,Entire home/apt,140,3,28,2018-10-01,0.96,1,176
12774987,Room #7 Last minute booking 24/7 *,35342456,Roberto,,Portage Park,41.940038753757804,-87.75674476302984,Private room,69,2,5,2018-08-06,0.18,9,308
12778606,Cozy Studio/ Gold Coast/ Meg. Mile/ Location,69532286,Ms.,,Near North Side,41.90469064674832,-87.63097430685583,Entire home/apt,90,1,177,2018-09-26,6.02,6,121
12778664,Retreat on Roscoe,69499361,Zachary,,North Center,41.94410736057163,-87.68077639156061,Entire home/apt,175,2,43,2018-10-09,2.26,1,336
12782772,Vintage Edgewater apartment,7304123,Aaron,,Edgewater,41.99126739464959,-87.6679588339538,Entire home/apt,48,10,5,2018-08-31,0.19,1,0
12783654,2BD/2BH UPSCALE LUXURY River North,3965428,Rob,,Near North Side,41.88847203902331,-87.63295422264049,Entire home/apt,258,30,0,,,41,365
12803883,2BD/2BA Vintage Flat in Lincoln Square,11521572,Gerard,,Lincoln Square,41.96629054037518,-87.68437974439725,Entire home/apt,180,2,67,2018-08-24,2.50,1,277
12805646,2pulloutsofas n PrivateLivingRoom,42524732,Kay,,Grand Boulevard,41.814405250513566,-87.62009887243316,Shared room,35,1,8,2018-08-22,0.27,11,365
12805999,2QueenSizeBedPrivateRmGreenLineTrain,42524732,Kay,,Grand Boulevard,41.81448727228159,-87.62123958183378,Private room,40,1,10,2018-08-19,0.37,11,361
12808357,Penthouse Near Wrigley Field,67664674,Kim,,Lake View,41.937788984236796,-87.65843311311794,Entire home/apt,132,2,44,2018-09-16,1.51,4,0
12809618,Modern Living @ Corner of DePaul,9128788,Ryan,,Lincoln Park,41.92690138836191,-87.6490699905029,Entire home/apt,275,3,4,2018-07-17,0.15,1,50
12831376,Winter Rates 3BDRM Business Study Travel Near Lake,13374424,RaeGina,,South Shore,41.7542183195926,-87.56305636984511,Entire home/apt,59,3,4,2018-10-09,0.25,2,96
12832601,The Wrigley Flats | Vacation in Wrigleyville,70042764,Tara,,Lake View,41.94311450319903,-87.65626202620187,Entire home/apt,299,3,6,2018-10-05,0.23,2,364
